h                  0   145.000     2.050     0.000     0.000     0.000
h2                 1    38.000     2.920     0.000     0.790   280.000
o                  0    80.000     2.750     0.000     0.000     0.000
o2                 1   107.400     3.458     0.000     1.600     3.800
oh                 1    80.000     2.750     0.000     0.000     0.000
h2o                2   572.400     2.605     1.844     0.000     4.000
n2                 1    97.530     3.621     0.000     1.760     4.000
h2o2               2   107.400     3.458     0.000     0.000     3.800
ho2                2   107.400     3.458     0.000     0.000     1.000 ! *
ar                 0   136.500     3.330     0.000     0.000     0.000
he                 0    10.200     2.576     0.000     0.000     0.000 ! *
co                 1    98.100     3.650     0.000     1.950     1.800
co2                1   244.000     3.763     0.000     2.650     2.100
ch2o               2   498.000     3.590     0.000     0.000     2.000
hco                2   498.000     3.590     0.000     0.000     0.000
ho2cho             2   481.800     3.626     1.7       0.000     1.000 ! ch3oh
o2cho              2   481.800     3.626     1.7       0.000     1.000 ! ch3oh
hocho              2   481.800     3.626     1.7       0.000     1.000 ! ch3oh
ocho               2   481.800     3.626     1.7       0.000     1.000 ! ch3oh
hoch2o2h           2   481.800     3.626     1.7       0.000     1.000 ! ch3oh
och2o2h            2   481.800     3.626     1.7       0.000     1.000 ! ch3oh
hoch2o2            2   481.800     3.626     1.7       0.000     1.000 ! ch3oh
hoch2o             2   481.800     3.626     1.7       0.000     1.000 ! ch3oh
ch3oh              2   481.800     3.626     1.7       0.000     1.000 ! sve,rpd
ch2oh              2   417.000     3.690     1.700     0.000     2.000
ch3o               2   417.000     3.690     1.700     0.000     2.000 
ch3o2h             2   481.800     3.626     1.7       0.000     1.000 ! ch3oh
ch3o2              2   481.800     3.626     1.7       0.000     1.000 ! ch3oh
ch4                2   141.400     3.746     0.000     2.600    13.000
ch3                1   144.000     3.800     0.000     0.000     0.000
ch2                1   144.000     3.800     0.000     0.000     0.000
ch2(s)             1   144.000     3.800     0.000     0.000     0.000
c                  0    71.400     3.298     0.000     0.000     0.000 ! *
ch                 1    80.000     2.750     0.000     0.000     0.000
c2h6               2   247.500     4.350     0.000     0.000     1.500 ! nmm
c2h5               2   247.500     4.350     0.000     0.000     1.500 ! nmm
c2h4               2   238.400     3.496     0.000     0.000     1.500 ! nmm
c2h3               2   265.300     3.721     0.000     0.000     1.000 ! nmm
